NUTS_CODE,x,y
DE111,3512718.693209958,5404131.491629387
DE112,3495855.981566794,5393394.288082821
DE113,3527275.578212494,5390108.903667061
DE114,3552927.493970332,5391974.841386317
DE115,3509183.819165366,5422590.102168551
DE116,3536827.815494904,5418068.701768553
DE117,3513376.2389833806,5446188.950711818
DE118,3513974.647982277,5448901.398692269
DE119,3544758.710331036,5459563.409254311
DE11A,3566374.429755979,5445640.04848785
DE11B,3552573.6853345246,5491785.228971494
DE11C,3587155.1725630285,5392303.506044527
DE11D,3580031.981804221,5416147.263906768
DE121,3443592.3251444357,5401497.922556242
DE122,3457111.671058297,5430612.957610348
DE123,3468123.3235303937,5438369.507306113
DE124,3444291.480099213,5402966.907256406
DE125,3477882.4835876026,5474332.686075199
DE126,3463883.4624460284,5484844.558382739
DE127,3520359.1777147264,5481105.57557853
DE128,3483166.411047008,5470182.404875031
DE129,3478994.4463864476,5415485.511200836
DE12A,3473256.885074393,5393545.437144353
DE12B,3480803.6402089987,5419706.9772636
DE12C,3460545.722056445,5370872.933538697
DE131,3411861.620703517,5317848.751024514
DE132,3419741.937779633,5310209.69809056
DE133,3418043.246363383,5335095.219703649
DE134,3427267.322649606,5365235.962995941
DE135,3465356.5554547794,5346354.561195353
DE136,3456152.246230967,5320275.312306743
DE137,3484713.932751125,5319243.101157386
DE138,3493348.3151599052,5295554.869999772
DE139,3408052.291345421,5285743.249824548
DE13A,3441437.1075495044,5284609.560631618
DE141,3527157.1339935753,5363237.915212127
DE142,3499157.108305436,5371553.730497501
DE143,3495435.1932012634,5347704.06679088
DE144,3570430.493295962,5361886.54677749
DE145,3561317.8811945934,5362968.997749155
DE146,3557747.2537434595,5330249.792336851
DE147,3530162.806031723,5288431.795425781
DE148,3558483.264057055,5298830.610092276
DE149,3518054.629219142,5322350.440617269
DE211,3676161.4576615486,5404727.546275055
DE212,3689598.1621136237,5338162.931978537
DE213,3732788.008179436,5305377.039263812
DE214,3775437.4384927643,5347952.509073352
DE215,3792935.494845492,5291820.534435213
DE216,3686344.0514823236,5290645.136457449
DE217,3674833.0794900353,5357871.966584731
DE218,3717147.759601569,5330560.31490156
DE219,3673873.5768680074,5420569.180724586
DE21A,3722686.775277568,5355744.203335352
DE21B,3702802.8393126074,5371353.2701603705
DE21C,3663731.26653413,5341212.930276628
DE21D,3660353.497532104,5270850.054058129
DE21E,3645428.6813198924,5322530.8576410515
DE21F,3710742.9926454737,5293071.805629085
DE21G,3751247.570166043,5350128.510850564
DE21H,3696153.052593605,5329600.465629977
DE21I,3661933.7088120985,5394193.721628823
DE21J,3686247.1652284167,5387353.834935307
DE21K,3736636.8142174874,5309291.079960359
DE21L,3670327.993320546,5321172.725158374
DE21M,3767728.4308841755,5312442.770183348
DE21N,3653550.8303171424,5296403.025299529
DE221,3733335.1089919386,5383377.364938386
DE222,3825796.7640340845,5392135.116216266
DE223,3762160.168821193,5422092.878408224
DE224,3794080.47664969,5412299.061801733
DE225,3831431.283375201,5419771.0435963115
DE226,3709889.997680355,5413641.339507071
DE227,3735960.4592304262,5384925.898785282
DE228,3822343.665136397,5389320.737155536
DE229,3799904.8076348766,5439828.819909108
DE22A,3786288.2021587025,5372418.184386325
DE22B,3762684.8400924574,5424218.581055033
DE22C,3766133.333435718,5395579.899300515
DE231,3706375.465048143,5483231.365856767
DE232,3727835.9738336066,5435308.432637104
DE233,3727771.2311073234,5508400.586214196
DE234,3703022.566907257,5487077.319328485
DE235,3769080.4642777764,5462131.738348599
DE236,3687058.0233678394,5456369.84654616
DE237,3723662.736210073,5510177.756782617
DE238,3728365.359123255,5436259.008762015
DE239,3736270.184811202,5475251.572062498
DE23A,3729986.3617767,5534138.938519313
DE241,3636532.779600464,5529595.143112764
DE242,3685613.469433078,5536687.678449793
DE243,3640139.1131936107,5571605.818539587
DE244,3706439.406948495,5578995.993200851
DE245,3635399.094035031,5530257.838807287
DE246,3683675.6630562264,5530597.477537432
DE247,3638551.1619980126,5572008.698420952
DE248,3656772.9517623093,5511639.296565578
DE249,3701037.8511577277,5574598.900318165
DE24A,3668967.252375956,5579564.507829711
DE24B,3677643.8157377467,5554766.761717693
DE24C,3651495.221533446,5554716.296907581
DE24D,3717736.372267201,5554866.497377976
DE251,3613817.7971849,5462859.164719912
DE252,3643119.8173424653,5495833.73871051
DE253,3642465.7102585556,5485695.776714279
DE254,3651131.465046135,5479784.132459216
DE255,3647144.4017655603,5468478.784897124
DE256,3606970.2470842227,5457810.378829246
DE257,3638404.586913208,5502133.048972497
DE258,3634203.688803133,5480509.929820224
DE259,3671721.1329671894,5486586.74254568
DE25A,3606055.9942264426,5493554.322223217
DE25B,3654843.3055030014,5453917.917187116
DE25C,3638549.2523802216,5434544.764566678
DE261,3510540.4496749123,5536397.193572937
DE262,3587524.545712488,5546352.404687023
DE263,3567831.101919788,5516882.325142039
DE264,3517141.254537818,5541328.990274801
DE265,3568925.904692287,5565602.926972244
DE266,3589370.944482575,5582462.020141414
DE267,3615132.8287512115,5548626.960333396
DE268,3590584.426174465,5513712.720467607
DE269,3516990.385038311,5513425.326205584
DE26A,3547592.492972167,5539888.865082345
